"","TOI","ArticleOnset","NounOnset","EndingOnset","EndingOffset","Remaining","Prompt","SentDur","CarrierDur","DeterminerDur","PhonOverlapDur","EndingDur","RemainDur","Timeline","ArticleOnset_adjusted","NounOnset_adjusted","EndingOnset_adjusted","EndingOffset_adjusted","Remaining_adjusted"
"65","Trial17-pos-princesa_0",2562,2689,2940,3318,3466,"Donde esta mi princesa",1466,562,127,251,378,148,"VersionB",0,127,378,756,904
"66","Trial18-pos-toro_0",2476,2639,2912,3031,3144,"Donde esta mi toro",1144,476,163,273,119,113,"VersionB",0,163,436,555,668
"67","Trial19-pos-libreta_0",2509,2641,2760,3187,3347,"Donde esta mi libreta",1347,509,132,119,427,160,"VersionB",0,132,251,678,838
"68","Trial20-pos-coco_0",2441,2576,2884,2935,3106,"Donde esta mi coco",1106,441,135,308,51,171,"VersionB",0,135,443,494,665
"69","Trial21-pos-ninera_0",2460,2605,2886,3163,3245,"Donde esta mi ninera",1245,460,145,281,277,82,"VersionB",0,145,426,703,785
"70","Trial22-pos-camello_0",2540,2689,2826,3201,3315,"Donde esta mi camello",1315,540,149,137,375,114,"VersionB",0,149,286,661,775
"71","Trial23-pos-caja_0",2458,2615,2871,3050,3185,"Donde esta mi caja",1185,458,157,256,179,135,"VersionB",0,157,413,592,727
"72","Trial24-pos-jabon_0",2513,2637,2798,3083,3273,"Donde esta mi jabon",1273,513,124,161,285,190,"VersionB",0,124,285,570,760
"73","Trial25-def-ballena_0",2478,2617,2742,3149,3250,"Donde esta la ballena",1250,478,139,125,407,101,"VersionB",0,139,264,671,772
"74","Trial26-def-caballero_0",2441,2532,2701,3226,3311,"Donde esta el caballero",1311,441,91,169,525,85,"VersionB",0,91,260,785,870
"75","Trial27-def-pina_0",2486,2606,2815,3029,3125,"Donde esta la pina",1125,486,120,209,214,96,"VersionB",0,120,329,543,639
"76","Trial28-def-zapato_0",2421,2514,2676,3126,3302,"Donde esta el zapato",1302,421,93,162,450,176,"VersionB",0,93,255,705,881
"77","Trial29-def-mosca_0",2464,2583,2859,3065,3203,"Donde esta la mosca",1203,464,119,276,206,138,"VersionB",0,119,395,601,739
"78","Trial30-def-sapo_0",2460,2567,2847,3062,3216,"Donde esta el sapo",1216,460,107,280,215,154,"VersionB",0,107,387,602,756
"79","Trial31-def-casa_0",2505,2622,2891,3161,3321,"Donde esta la casa",1321,505,117,269,270,160,"VersionB",0,117,386,656,816
"80","Trial32-def-sombrero_0",2437,2547,2838,3124,3218,"Donde esta el sombrero",1218,437,110,291,286,94,"VersionB",0,110,401,687,781
"81","Trial33-pos-cantante_0",2457,2598,2721,3217,3357,"Donde esta mi cantante",1357,457,141,123,496,140,"VersionB",0,141,264,760,900
"82","Trial34-pos-leon_0",2519,2687,2841,3034,3152,"Donde esta mi leon",1152,519,168,154,193,118,"VersionB",0,168,322,515,633
"83","Trial35-pos-nube_0",2588,2747,2976,3152,3271,"Donde esta mi nube",1271,588,159,229,176,119,"VersionB",0,159,388,564,683
"84","Trial36-pos-cofre_0",2403,2537,2765,2991,3134,"Donde esta mi cofre",1134,403,134,228,226,143,"VersionB",0,134,362,588,731
"85","Trial37-def-serpiente_0",2425,2569,2788,3203,3315,"Donde esta la serpiente",1315,425,144,219,415,112,"VersionB",0,144,363,778,890
"86","Trial38-def-paciente_0",2500,2607,2716,3285,3503,"Donde esta el paciente",1503,500,107,109,569,218,"VersionB",0,107,216,785,1003
"87","Trial39-def-leche_0",2461,2579,2753,2995,3169,"Donde esta la leche",1169,461,118,174,242,174,"VersionB",0,118,292,534,708
"88","Trial40-def-sobre_0",2472,2544,2800,2990,3203,"Donde esta el sobre",1203,472,72,256,190,213,"VersionB",0,72,328,518,731
"89","Trial41-pos-mujer_0",2513,2633,2762,3058,3167,"Donde esta mi mujer",1167,513,120,129,296,109,"VersionB",0,120,249,545,654
"90","Trial42-pos-escorpion_0",2456,2568,2734,3228,3301,"Donde esta mi escorpion",1301,456,112,166,494,73,"VersionB",0,112,278,772,845
"91","Trial43-pos-sal_0",2543,2673,2927,3051,3225,"Donde esta mi sal",1225,543,130,254,124,174,"VersionB",0,130,384,508,682
"92","Trial44-pos-tren_0",2523,2675,3001,3001,3164,"Donde esta mi tren",1164,523,152,326,0,163,"VersionB",0,152,478,478,641
"93","Trial45-def-lombriz_0",2533,2652,2771,3216,3287,"Donde esta la lombriz",1287,533,119,119,445,71,"VersionB",0,119,238,683,754
"94","Trial46-def-doctor_0",2421,2513,2591,2945,3037,"Donde esta el doctor",1037,421,92,78,354,92,"VersionB",0,92,170,524,616
"95","Trial47-def-red_0",2473,2626,2800,2838,3013,"Donde esta la red",1013,473,153,174,38,175,"VersionB",0,153,327,365,540
"96","Trial48-def-camion_0",2426,2496,2653,3020,3120,"Donde esta el camion",1120,426,70,157,367,100,"VersionB",0,70,227,594,694
